0,地址,名称,维度,经度,类型
233,,曹后村东(公交站),32.086530753934596,118.80555508777799,公交站
234,,莫愁湖东路北(公交站),32.03823093900242,118.7610242021078,公交站
235,,西安门(公交站),32.042273946482425,118.80087297074385,公交站
236,,西安门(军区总院)(公交站),32.042273997396585,118.80090302841997,公交站
237,,虎踞南路·建邺路(公交站),32.03711439578663,118.7637041853432,公交站
238,,黄埔路·马标(公交站),32.04640758647472,118.80590246304111,公交站
239,,安怀村东(公交站),32.09692731643523,118.78847083558148,公交站
240,,小火瓦巷(公交站),32.035299180164756,118.78363198184572,公交站
241,,安怀村北(公交站),32.097868826192745,118.78511645165928,公交站
242,,民生街(公交站),32.09562063469882,118.76130107465264,公交站
243,,郑淮路·定淮门大街(公交站),32.0692437219362,118.73957134604953,公交站
244,,建邺路·止马营(公交站),32.03596795667684,118.76620130637014,公交站
245,,太平南路·常府街(公交站),32.03570916349872,118.78722346602763,公交站
246,,常府街北(公交站),32.03701334259268,118.7919231296079,公交站
247,,八一医院(公交站),32.03606283377149,118.78903436094764,公交站
248,,大桥南路总站(公交站),32.088164437592624,118.74880785658988,公交站
249,,三元巷(公交站),32.03421806732943,118.77893346904784,公交站
250,,盐仓桥广场北(公交站),32.08867957768168,118.74902883707122,公交站
251,,北圩路北(公交站),32.04573100921742,118.74741565672751,公交站
252,,清凉门大桥西(公交站),32.048226476074014,118.7449204084666,公交站
253,,建邺路(公交站),32.03387892274304,118.77240256542433,公交站
254,,黄埔路(公交站),32.04388814366116,118.80540570067392,公交站
255,,新民路(公交站),32.092014920200945,118.75215715618153,公交站
256,,龙蟠中路·逸仙桥(公交站),32.038678740768056,118.79824332270013,公交站
257,,阳光广场(公交站),32.05884255749277,118.73903046811586,公交站
258,,嫩江路北(公交站),32.0499549427069,118.74311940577239,公交站
259,,盐仓桥(公交站),32.09024392548051,118.74915070859234,公交站
260,,西华门(公交站),32.038255645090395,118.79824336160556,公交站
261,,龙江小区(公交站),32.0603840850904,118.73827556871434,公交站
262,,江南公交一公司(公交站),32.091496268430525,118.80410975873804,公交站
263,,东井亭(公交站),32.09766195976771,118.79282711441185,公交站
264,,富贵山(公交站),32.05408356294095,118.81431905649696,公交站
265,,虎踞南路·水西门(公交站),32.03459611615648,118.76412473964402,公交站
266,,盐仓桥广场西(公交站),32.08817121186393,118.74625968521339,公交站
267,,金海市场(公交站),32.09602256222234,118.7572016906972,公交站
268,,河路道(公交站),32.10054668640565,118.77906452457177,公交站
269,,五所村(公交站),32.0935794179841,118.75277518571018,公交站
270,,内桥(公交站),32.03263661640925,118.7813248902675,公交站
271,,清江花苑(公交站),32.06760307343156,118.73687941566664,公交站
272,,张府园(公交站),32.03237985884669,118.77649650029771,公交站
273,,新民门(公交站),32.092796818719506,118.75106581613888,公交站
274,,龙江花园(公交站),32.062581971725535,118.73687988038739,公交站
275,,红山南路·恒嘉路(公交站),32.08684026758533,118.8102716393076,公交站
276,,龙园西路北(公交站),32.06559679992845,118.73636781146918,公交站
277,,板仓村(公交站),32.07332744934704,118.81736070390221,公交站
278,,姜家园南(公交站),32.078385922164344,118.73861678855295,公交站
279,,迎春里(公交站),32.04152721691061,118.74880417343773,公交站
280,,莫愁新寓(公交站),32.03931028985229,118.75177293440937,公交站
281,,龙江新城市广场(公交站),32.0583089481324,118.73713917385079,公交站
282,,莫愁湖东路南(公交站),32.03407244335787,118.76176507638853,公交站
283,,汉江路东(公交站),32.05125669022354,118.73986293076219,公交站
284,,常府街(公交站),32.034896936655656,118.79518706719466,公交站
285,,太平巷(公交站),32.03321816360691,118.79037985652595,公交站
286,,莫愁路·水西门(公交站),32.03247350308481,118.76663700618602,公交站
287,,莫愁路(水西门)(公交站),32.032450491549966,118.76662900131168,公交站
288,,龙江新城市广场南(公交站),32.055870343085466,118.73735331744706,公交站
289,,莫愁湖公园西门(公交站),32.03820014678896,118.75219314674733,公交站
290,,紫金山索道(公交站),32.05957818130185,118.81829393728303,公交站
291,,后宰门(公交站),32.04889004866607,118.81358599675536,公交站
292,,鱼苗塘(公交站),32.04311032704342,118.74546986215633,公交站
293,,太平南路·白下路(公交站),32.03168541066966,118.78590175919662,公交站
294,,安怀东路(公交站),32.10149844102939,118.7864762244997,公交站
295,,孙家洼路西(公交站),32.10153164214741,118.76796682198719,公交站
296,,孙家洼路北(公交站),32.10153163547671,118.76795881456002,公交站
297,,龙蟠中路·瑞金路(公交站),32.03537408908624,118.79769360322314,公交站
298,,郑淮路北(公交站),32.07198754086384,118.73538365556445,公交站
299,,清凉门大街·湛江路(公交站),32.048383880055695,118.74077096992679,公交站
300,,龙江地铁站东(公交站),32.06007586090501,118.73557567015368,公交站
301,,孙家洼西(公交站),32.1016267126211,118.76802786990089,公交站
