地址,名称,维度,经度,类型
,孙家洼路北(公交站),32.099476,118.773178,公交站
,龙蟠中路·瑞金路(公交站),32.033295,118.802864,公交站
,郑淮路北(公交站),32.069946,118.740608,公交站
,清凉门大街·湛江路(公交站),32.046349,118.745995,公交站
,龙江地铁站东(公交站),32.058037,118.740799,公交站
,孙家洼西(公交站),32.099571,118.773247,公交站
,姜家圩(公交站),32.075283,118.741959,公交站
,红山站(公交站),32.096970,118.801025,公交站
,四平路广场南(公交站),32.092167,118.754967,公交站
,江东北路·龙园北路(公交站),32.060947,118.739876,公交站
,南医大二附院总站(公交站),32.081596,118.744606,公交站
,孙家洼路(公交站),32.100456,118.775940,公交站
,汉江路(公交站),32.050301,118.742981,公交站
,长江大酒店(公交站),32.093689,118.756676,公交站
,郭家山路东(公交站),32.100925,118.781235,公交站
,省妇幼保健院(公交站),32.059071,118.739967,公交站
,白下路(公交站),32.028671,118.789688,公交站
,后宰门南(公交站),32.044415,118.818230,公交站
,鼎新路(公交站),32.028282,118.777946,公交站
,张王庙(公交站),32.101063,118.779663,公交站
,江东北路·定淮门大街(公交站),32.064137,118.739235,公交站
,清凉门大街(公交站),32.048168,118.743683,公交站
,农贸中心(公交站),32.073711,118.740433,公交站
,四平路(公交站),32.094608,118.757446,公交站
,嫩江路(公交站),32.042496,118.747681,公交站
,挹江门(公交站),32.086548,118.747543,公交站
,江东北路·草场门大街(公交站),32.056305,118.740021,公交站
,后宰门东(公交站),32.045170,118.819626,公交站
,莫愁湖(公交站),32.031754,118.762100,公交站
,莫愁湖公园南门(公交站),32.031780,118.761993,公交站
,中山南路·升州路(公交站),32.027355,118.783340,公交站
,莫愁湖西路(公交站),32.034363,118.756676,公交站
,长白街北(公交站),32.028816,118.794777,公交站
,水西门(公交站),32.028103,118.772987,公交站
,公园路(公交站),32.032318,118.804581,公交站
,内桥南(公交站),32.027336,118.785774,公交站
,钟麓花园(公交站),32.073586,118.825294,公交站
,江东北路·三汊河(公交站),32.068291,118.738319,公交站
,幕府南路北(公交站),32.100487,118.769508,公交站
,明故宫西(公交站),32.039566,118.815468,公交站
,四象桥(公交站),32.027634,118.790489,公交站
,汉中门大街·嫩江路(公交站),32.038670,118.750229,公交站
,干休所(公交站),32.102219,118.782501,公交站
,瑞金北村(公交站),32.035343,118.810394,公交站
,大桥饭店(公交站),32.092560,118.752403,公交站
,十字街(公交站),32.095078,118.809181,公交站
,北圩路(公交站),32.035892,118.752892,公交站
,南医大二附院(公交站),32.080643,118.741585,公交站
,长途东站南京旅游集散中心(公交站),32.083481,118.821472,公交站
,姜家园(公交站),32.085152,118.744423,公交站
,凤台路·水西门(公交站),32.027905,118.769432,公交站
,江东北路·闽江路(公交站),32.052731,118.739433,公交站
,赏心亭(公交站),32.027878,118.769432,公交站
,舸舫西园(公交站),32.064800,118.737076,公交站
