地址,名称,维度,经度,类型
,东青石(地铁站),32.002895,118.745580,地铁站
,长巷(地铁站),32.023459,118.844795,地铁站
,凤台南路(地铁站),31.998660,118.754556,地铁站
,新马路(地铁站),32.104861,118.710272,地铁站
,市中医院(地铁站),31.998446,118.807754,地铁站
,浦东路(地铁站),32.109724,118.713473,地铁站
,吉祥庵(地铁站),32.126852,118.821251,地铁站
,万寿村(地铁站),32.119575,118.834610,地铁站
,南浦路(地铁站),32.131673,118.742089,地铁站
,大桥(地铁站),32.126746,118.731097,地铁站
,柳州路(地铁站),32.118770,118.718323,地铁站
,南铁院(地铁站),32.096525,118.699097,地铁站
,胜利村(地铁站),32.014281,118.844059,地铁站
,商务东街(地铁站),32.091194,118.695517,地铁站
,丁家庄(地铁站),32.111801,118.849620,地铁站
,红花机场(地铁站),31.993523,118.812507,地铁站
,机场路(地铁站),31.998403,118.824890,地铁站
,新城科技园(地铁站),31.995017,118.739283,地铁站
,中央商务区(地铁站),32.085571,118.688761,地铁站
,燕子矶(地铁站),32.136634,118.821238,地铁站
,尖山路(地铁站),32.107563,118.860026,地铁站
,大校场(地铁站),31.993202,118.824519,地铁站
,弘阳广场(地铁站),32.134053,118.727567,地铁站
,夹岗(地铁站),31.987557,118.813773,地铁站
,七里河东(地铁站),32.079865,118.681806,地铁站
,杨庄(地铁站),32.005222,118.851533,地铁站
,双拜岗(地铁站),32.019631,118.865074,地铁站
,燕尧路(地铁站),32.132065,118.842438,地铁站
,笆斗山(地铁站),32.142918,118.827801,地铁站
,尧化新村(地铁站),32.113629,118.872404,地铁站
,七里河西(地铁站),32.074335,118.668609,地铁站
,浦州路(地铁站),32.155633,118.748800,地铁站
,白下科技园(地铁站),32.002206,118.863147,地铁站
,雨润路(地铁站),31.980650,118.726475,地铁站
,二桥公园(地铁站),32.146589,118.843348,地铁站
,岔路口(地铁站),31.974050,118.836924,地铁站
,大里墅(地铁站),31.997772,118.874148,地铁站
,湾营路(地铁站),32.039474,118.899547,地铁站
,沧波门(地铁站),32.023255,118.893698,地铁站
,新港开发区(地铁站),32.141484,118.866847,地铁站
,南庆(地铁站),32.007746,118.886350,地铁站
,上坊工业园(地铁站),31.987749,118.867649,地铁站
,尧化门(地铁站),32.122191,118.887003,地铁站
,森林大道(地铁站),32.048166,118.648658,地铁站
,城北路(地铁站),31.963796,118.840002,地铁站
,建南(地铁站),32.015210,118.900430,地铁站
,麒麟工业园(地铁站),32.030637,118.909479,地铁站
,大里村(地铁站),31.989168,118.884340,地铁站
,太清路(地铁站),31.966968,118.703118,地铁站
,兴智路(地铁站),32.142399,118.884662,地铁站
,珠江南(地铁站),32.040292,118.641814,地铁站
,仙新路(地铁站),32.128413,118.898262,地铁站
,万安路(地铁站),31.978745,118.878071,地铁站
,定林(地铁站),32.023031,118.913024,地铁站
,螺塘街(地铁站),31.962511,118.702007,地铁站
,芝嘉路(地铁站),32.041129,118.919728,地铁站
,静淮街(地铁站),31.943528,118.797941,地铁站
,螺塘路(地铁站),31.961389,118.701721,地铁站
,上元大街(地铁站),31.953335,118.843859,地铁站
,青莲街(地铁站),31.964369,118.692563,地铁站
,文靖路(地铁站),31.963758,118.866442,地铁站
,麒麟镇(地铁站),32.053563,118.926991,地铁站
,庙东路(地铁站),32.032405,118.635242,地铁站
,仙林站(地铁站),32.122574,118.912796,地铁站
,天保街(地铁站),31.966141,118.683760,地铁站
,新生圩(地铁站),32.146855,118.895730,地铁站
,上坊(地铁站),31.970221,118.881267,地铁站
,金箔路(地铁站),31.954438,118.860205,地铁站
,杨家圩(地铁站),31.942297,118.838212,地铁站
,新亭路(地铁站),31.942690,118.845566,地铁站
,新生圩(地铁站),32.156615,118.896510,地铁站
,行知路(地铁站),32.023351,118.626337,地铁站
,鱼嘴(地铁站),31.968251,118.665833,地铁站
,成山路(地铁站),31.944459,118.858193,地铁站
,西善桥(地铁站),31.946502,118.689968,地铁站
,绿水湾(地铁站),32.012785,118.618376,地铁站
,刘家库(地铁站),32.149539,118.926430,地铁站
,科宁路(地铁站),31.923189,118.849836,地铁站
,石塘公园(地铁站),32.000748,118.609536,地铁站
,前庄(地铁站),31.910349,118.843705,地铁站
,栖霞山(地铁站),32.149907,118.950747,地铁站
,板桥北(地铁站),31.925552,118.665238,地铁站
,九龙湖西(地铁站),31.893192,118.810524,地铁站
,板桥(地铁站),31.916113,118.655583,地铁站
,玉带(地铁站),32.223016,118.905868,地铁站
,洲南路(地铁站),31.901634,118.635473,地铁站
,板桥南(地铁站),31.883924,118.622041,地铁站
,陈家庄(地铁站),32.281505,118.883698,地铁站
,江宁(地铁站),31.861706,118.596341,地铁站
,灵岩山(地铁站),32.313388,118.867734,地铁站
,雄州西路(地铁站),32.334602,118.819907,地铁站
,雄州东路(地铁站),32.333419,118.857397,地铁站
,机场路(地铁站),32.344855,118.807296,地铁站
,翔凤路(地铁站),31.834162,118.572942,地铁站
,六合机场(地铁站),32.374564,118.798980,地铁站
,铜井(地铁站),31.797918,118.546252,地铁站
