地址,名称,维度,经度,类型
汉口路22号南京大学鼓楼校区,南京大学鼓楼校区青年共产主义学校,32.053328,118.781325,学校
汉口路22号,南京大学鼓楼校区国有资产管理处,32.053834,118.779831,学校
闽江路28号附近,银城小学拉萨路小学分校,32.052893,118.733019,学校
祁家桥31号2层,江苏丽人美容摄影化妆职业学校,32.071623,118.766163,学校
东井亭,南京市砺志实验小学,32.097258,118.7973,学校
龙蟠中路21号,南京市小营小学,32.054899,118.807011,学校
游府西街12号,南京市游府西街小学,32.038797,118.791209,学校
许家巷15号,考棚小学,32.019346,118.782958,学校
瞻园路22号,夫子庙小学,32.020272,118.788355,学校
南京林业大学办公楼4号,南京林业大学招标办公室,32.075829,118.812388,学校
中山北路101号,中央广播电视大学,32.065928,118.774915,学校
察哈尔路十二新村40号,南京市察哈尔路小学,32.078741,118.754898,学校
虎踞北路37号,古平岗小学,32.073055,118.753883,学校
张府园21号,建邺路小学,32.031438,118.782164,学校
钓鱼台147号,南京市钓鱼台小学,32.018013,118.778162,学校
蓝天园23号,南京市第二十九中学,32.052905,118.745432,学校
北东瓜市与宁海路交叉口西北50米,南京师范大学,32.054003,118.771460,学校
,东南大学,32.055313,118.795964,学校
珠江路288附近,东南大学四牌楼校区中山院,32.053593,118.794618,学校
汉口路9号,南京大学鼓楼校区基本建设处,32.051508,118.780966,学校
汉口路22号南园综合楼,南京大学鼓楼校区房地产管理处,32.051573,118.780908,学校
汉口路22号南京大学鼓楼校区,南京大学鼓楼校区研究生会,32.051551,118.781697,学校
汉口路22号南园综合楼,南京大学鼓楼校区-中共南京大学委员会党校,32.051585,118.780910,学校
挹江门街道洪庙一巷8号附近,南京财经大学成教楼,32.086993,118.763249,学校
杨将军巷46,南京市第九初级中学,32.046984,118.791827,学校
中央北路69号,南京机电职业技术学院(中央门校区),32.099849,118.78102,学校
虎踞关与西康路交叉口西100米,河海大学河海馆,32.054863,118.762778,学校
锁金村71号,南京市第十三中学锁金分校,32.07158,118.817593,学校
四牌楼4号,南京师范大学附属小学,32.05448,118.791477,学校
三牌楼121号,三小学区房专家,32.080035,118.764877,学校
康居路41号,夫子庙小学分校,32.009306,118.809865,学校
华侨路街道宁海路122号,南京师范大学社会科学处,32.054550,118.768836,学校
龙蟠路159号南京林业大学学生处,南京林业大学大学生资助中心,32.078733,118.811503,学校
龙蟠路159号,南京林业大学就业创业指导中心,32.078733,118.811503,学校
西康路1号,河海大学离退休工作处,32.057448,118.763090,学校
宁海路122号南京师范大学公共管理学院,南京师范大学教师职业技能综合实训中心,32.052534,118.770095,学校
南东瓜市与宁海路交叉口西150米,南京师范大学随园校区教育部基础教育学科资源保护开发与应用研究课题办公室,32.052475,118.770130,学校
华侨路街道宁海路122号南京师范大学随园校区金陵女子学院南山专家楼旁边,南京师范大学随园校区贻芳报告厅,32.052028,118.770172,学校
南京师范大学随园校区12号楼,南京师范大学随园校区计算机中心,32.052847,118.769122,学校
,南京财经大学C楼,32.085258,118.760629,学校
西康路1号河海大学,河海大学闻天馆,32.057190,118.762625,学校
玄武门街道成贤街43号,南京中华文化学院,32.050143,118.795034,学校
成贤街43号,南京市社会主义学院,32.050143,118.795034,学校
宁海路122号南京师范大学随园校区,洲际酒店集团英才培养学院,32.052077,118.769953,学校
新城科技园白鹭东街80号,南京师范大学附属中学新城小学怡康街分校,32.013215,118.744653,学校
北京西路74号,南京艺术学院,32.062921,118.753452,学校
珠江路653号3幢,南京玄武外国语学校,32.047437,118.804925,学校
龙蟠路159号,南京林业大学基建处,32.075788,118.812284,学校
宁海路122号南京师范大学随园校区18号楼,南京师范大学随园校区法学院,32.051748,118.770317,学校
定淮门大街2号清江花苑,南师附中树人学校附属小学清江校区,32.066362,118.742077,学校
御道街20号(近明故宫午朝门),南京航空航天大学附属小学,32.03654,118.816902,学校
大清河18号,瑞金北村小学,32.03521,118.812402,学校
腾飞园4栋,环球艺朵私立美校,32.060604,118.746983,学校
白云园36号,白云园小学芳草园小学分校,32.054142,118.743796,学校
太平门农场巷124号,南京市玄武高级中学,32.056289,118.813914,学校
天妃巷121号,南京市第五高级中学,32.039066,118.777109,学校
新街口街道长江路272号,南京市职工中等专业学校,32.043542,118.794349,学校
新华西路57号,南京育英第二外国语学校,32.215125,118.743098,学校
柳洲南路8-10号南京市浦口区实验小学体育馆,浦口区实验小学,32.115575,118.71987,学校
中山南路386号,南京市府西街小学,32.028509,118.782475,学校
北京东路39号,中国科学院,32.058725,118.795400,学校
南秀村5号天文与空间科学学院,国家重点学科天体物理,32.055692,118.777111,学校
天津路1号,南京大学非计算机专业信息技术创新(竞赛)中心,32.057647,118.781289,学校
两江路与六朝松路交叉口东南100米,江苏省教育和科研计算机网络中心,32.056451,118.794243,学校
四牌楼2号东南大学四牌楼校区内,中国教育和科研计算机网华东(北)地区网络中心,32.056451,118.794243,学校
两江路与六朝松路交叉口西北100米,东南大学四牌楼校区MFA教学场地,32.057470,118.795035,学校
童卫路10号,南京农业大学自学考试办公室,32.033444,118.839686,学校
小火瓦巷32号,南京市火瓦巷小学,32.032498,118.790071,学校
宁海路122号,英国伦敦教师学院南京代表处,32.052667,118.768278,学校
教学楼17号,南京林业大学教材科办公室,32.079889,118.817505,学校
胜利村路4号,南京理工大学实验小学,32.029853,118.849474,学校
龙蟠路163号,南京市城建中等专业学校,32.074458,118.811588,学校
江山路路10号(柳袱小学对面),南京市力学小学海德北岸分校,32.126379,118.736904,学校
中山北路200号,南京工业大学虹桥校区行政楼,32.073887,118.768824,学校
龙蟠路159号南京林业大学档案馆,南京林业大学生环楼,32.076733,118.813910,学校
新街口街道中山路178号,南京市汇文女子中学,32.048580,118.784375,学校
锁金村61号,南京市锁金新村第一小学,32.070258,118.817396,学校
宁海路122号南京师范大学随园校区,南京师范大学随园校区新闻与传播学院影视艺术与管理教育中心,32.051959,118.767750,学校
古平岗35-1,江苏师范大学(南京校区),32.069506,118.754741,学校
新民路128号,南京市第三十九中学,32.090695,118.758485,学校
象山路与金象路交叉口东150米,宝江社区学校,32.107164,118.758098,学校
拉萨路7号(近广州路),拉萨路小学,32.047081,118.770841,学校
锁金五村2号,南京市锁金二小,32.074135,118.818469,学校
东井村100-3号,南京市鼓楼区第二实验小学分部,32.098259,118.799676,学校
西康路1号河海大学华水路附近,河海大学学生就业指导中心,32.057215,118.761561,学校
化纤新村28号,南京市化纤新村小学,32.126059,118.835706,学校
长江路碑亭巷51号,南京市第九中学东南大学附属中学,32.043009,118.7925,学校
大桥南路16号(家乐福),南京市第十二中学(大桥南路),32.088599,118.756137,学校
幕府西路郭家山路孙家凹82号,南京市建宁中学,32.101217,118.772575,学校
太平门洲城根43号,南京市水上运动学校,32.061119,118.810150,学校
创新路与求知路交叉口西北150米,南京林业大学报告厅,32.079058,118.815008,学校
安怀新村330号,南京南侨高级中学,32.100166,118.795056,学校
金陵村399号,中国长江航运集团金陵船厂技工学校,32.11136,118.767605,学校
童卫路东150米,南京农业大学化学试剂仓库,32.032582,118.840534,学校
曹后村28号,南京市第十三中学锁金分校(过渡校区),32.087091,118.806577,学校
建康新村16幢,南京市建康路小学,32.024858,118.795454,学校
莫愁路4栋(侯家桥),南京市石鼓路小学(东校区),32.03827,118.775925,学校
华电路89号,南京市中电颐和家园小学,32.096897,118.814983,学校
莫愁路天妃巷1号,南京市石鼓路小学(西校区),32.038081,118.773919,学校
黑墨营96号,北京东路小学(红山分校),32.087589,118.817538,学校
中山北路200号,南京工业大学城建学院自学考试办公室,32.073473,118.768784,学校
大悲巷13号,南京市玄武高级中学·初中部,32.044735,118.802300,学校
幕府西路92号,南京一中分校,32.104906,118.767647,学校
凤凰西街24号,芳草园小学(凤凰校区),32.043065,118.755797,学校
樱花路15号,樱花小学,32.084272,118.830278,学校
嫩江路与清凉门大街交叉口东南150米,南京商业学校-北区,32.045241,118.749039,学校
广州路300号江苏省人民医院,南京医科大学博士后流动站,32.049146,118.767220,学校
西康路1号河海大学,河海大学-北教,32.057263,118.759692,学校
园丁路附近,南京林业大学办公楼6号,32.076095,118.816235,学校
南瑞路与许府巷交叉口西南150米,南京邮电大学后勤管理处,32.082577,118.771414,学校
南瑞路与许府巷交叉口西南150米,南京邮电大学资源资产与实验室管理处,32.082574,118.771409,学校
新模范马路66号,南京邮电大学三牌楼校区行政办公楼,32.081639,118.771333,学校
中山北路200号,南京工业大学虹桥校区教学主楼,32.074727,118.768111,学校
文昌巷63号,南京第三高级中学文昌校区,32.037143,118.796698,学校
后宰门西村20号,南京市第五十四中学,32.047973,118.820576,学校
幕府西路9号南京城市职业学院下关校区(幕府西路校区)附近,江苏联合职业技术学院(南京商贸分院),32.111013,118.783551,学校
青岛路32号附近,南京大学附属中学初中部,32.052402,118.778149,学校
湖南路街道青岛路32号,南京大学附属中学国际高中,32.052297,118.77774,学校
瑞平街与瑞平路交叉口北150米,丁家庄小学,32.117989,118.85826,学校
创新路与水杉路交叉口西100米,南京林业大学行政楼3号楼,32.076204,118.812470,学校
姜家圩48-2号,南京市第十二中学初中部,32.079926,118.743371,学校
白下路117,南京第三高级中学(白下校区),32.029704,118.789594,学校
中央门创意中央(南京商厦南),喜德瑞供暖学院中央门店,32.088544,118.785909,学校
南京大学鼓楼校区,南京大学鼓楼校区-田家炳楼,32.057340,118.777686,学校
金银街18号,南京大学孔子学院办公室,32.057921,118.775545,学校
新模范马路66号,南京邮电大学国家工程研究中心通信与网络技术,32.081916,118.769802,学校
宁海路街道水佐岗49号,江苏省行政学院教研楼,32.069729,118.762297,学校
南秀村5号天文与空间科学学院,国家重点学科天体测量与天体力学,32.055683,118.777111,学校
湖南路街道南京大学鼓楼校区汉口路,南京大学鼓楼校区郑钢楼,32.055750,118.780205,学校
上海路203-207号附近,江苏国际预科学院8号楼,32.057451,118.772645,学校
中山北路200号,南京工业大学-教职工班车虹桥乘车点,32.075290,118.767130,学校
上海路203-207号附近,江苏国际预科学院6号楼,32.057595,118.772945,学校
汉口路22号附近,南京大学-考试中心,32.054882,118.779888,学校
汉口路22南京大学,南京大学人工微结构科学与技术协同创新中心访问学者办公室,32.054682,118.778434,学校
礼东路与金陵路交叉口西北50米,东南大学四牌楼校区礼东楼,32.055942,118.794710,学校
平仓巷5号,南京大学工程管理学院协鑫楼,32.055747,118.777878,学校
汉口路22号,南京大学-数学科研综合楼,32.058337,118.778486,学校
南高路与礼西路交叉口西北50米,东南大学四牌楼校区微电子学与固体电子学,32.055514,118.792745,学校
汉口路22号,南京大学鼓楼校区植物学,32.055224,118.778759,学校
四牌楼2号东南大学四牌楼校区中央大学旧址附近,东南大学四牌楼校区春晖堂,32.055947,118.794533,学校
汉口路22号,南京大学鼓楼校区生理学,32.055224,118.778759,学校
进香河路35号,东南大学四牌楼校区西区综合楼,32.055157,118.789953,学校
进香河路35号,东南大学四牌楼校区(西区),32.055701,118.789527,学校
汉口路22号南京大学鼓楼校区商学院308室,南京大学鼓楼校区EDP教育中心,32.058036,118.776240,学校
四牌楼2号东南大学四牌楼校区内,东南大学四牌楼校区资产经营管理处,32.056573,118.791340,学校
汉口路22号南京大学,南京大学鼓楼校区外国语学院A-Level中心,32.056232,118.777714,学校
汉口路22号南京大学鼓楼校区科研楼主楼10层,南京大学鼓楼校区技术转移中心,32.058326,118.778484,学校
四牌楼2号东南大学四牌楼校区,东南大学四牌楼校区工艺实习工场,32.057109,118.792476,学校
新街口街道进香河路35号,东南大学四牌楼校区岩土工程馆,32.056462,118.788697,学校
新模范马路66号南京邮电大学应用技术学院附近,南京邮电大学无线楼,32.081853,118.769800,学校
四牌楼2号东南大学四牌楼校区内,东南大学四牌楼校区MFA中心,32.057604,118.791332,学校
汉口路22号南京大学鼓楼校区,南京大学鼓楼校区科学技术处,32.057046,118.780327,学校
汉口路22号,南京大学鼓楼校区台港澳事务办公室,32.054853,118.780061,学校
