地址,名称,维度,经度,类型
"双龙大道1118号(河定桥地铁站,欧尚旁)",金轮新都汇,31.950582,118.819533,商场
仙林大学城风华路1号,仙林·曼度,32.093204,118.928417,商场
静淮街蓝海豚幼儿园对面,禧樾广场,31.928505,118.799287,商场
诚信大道988-8号,鑫海洋百货,31.908632,118.832003,商场
仙鹤门二号路西100米,大洋百货,32.090577,118.898970,商场
江东中路258号,华采天地,31.997722,118.721870,商场
建康路27号,水游城购物中心,32.023551,118.785739,商场
清江路95号附近,苏宁环球商贸城2期,32.043878,118.730363,商场
江东中路236号,华灯坊,31.999641,118.723541,商场
新湖大道9号,花样年·花生唐,31.907891,118.66072,商场
长冲步行街与长冲街交叉口西南100米,旺角广场,32.231061,118.764324,商场
浦珠北路126号,澳林购物广场,32.112524,118.698886,商场
中山门大街99号,君临紫金商业街,32.037719,118.850353,商场
建邺路与绒庄街交叉口东100米,紫晶环球,32.030247,118.783217,商场
"栖霞大道28号(迈尧路379号,近红太阳家居)",金源百货,32.119203,118.838721,商场
夫子庙瞻园路11号,夫子庙商贸城(南京古玩城),32.019079,118.786906,商场
杨新路159附近,永腾广场,32.207549,118.737613,商场
雨花西路121号,东邺百货,31.999715,118.768914,商场
黄埔路2-2号黄埔大酒店1楼,黄埔大酒店-商场,32.042473,118.811190,商场
双龙大道1680号,凤凰港商贸城,31.928794,118.816926,商场
黄山路99号,好邻居生活广场(黄山路),32.000015,118.737729,商场
龙蟠中路与象房村路交汇处,龙蟠汇购物中心,32.022018,118.801308,商场
幕府东路5附近,COLORFUL PLAZA,32.112058,118.780180,商场
建宁路10号1栋附近,金桥商业广场,32.090998,118.780016,商场
小市新村路与幕府南路交叉口西南200米,玉桥商业广场A,32.091675,118.781541,商场
东宝路8号3栋,时代广场大厅,32.043411,118.735641,商场
江东北路382号附近,天盛广场,32.062433,118.740097,商场
建宁路与江西路交叉口东北200米,玉桥商业广场B座,32.091941,118.780829,商场
夫管办瞻园路9号,卓冉奥莱斯,32.019271,118.786607,商场
清江路99号,苏宁环球商贸城北区,32.04477,118.729796,商场
友谊街36号,游坊城(南京建邺店),31.966319,118.720085,商场
雄风路486号汪海大厦,汪海商业广场,31.898225,118.630549,商场
珠江街道,金浦假日百货(室内精品步行街),32.057965,118.628603,商场
建宁路8号,玉桥市场3期,32.092667,118.779935,商场
新华路138号,鑫乐生活广场,32.221852,118.746969,商场
浦珠北路126号,澳林广场,32.112632,118.699012,商场
高新路23,力朋广场,32.173194,118.710348,商场
上元大街459号,南京万居汇,31.953631,118.844067,商场
秣陵街道诚信大道990号,UCT优尚天地,31.908824,118.834764,商场
上元大街300号,五星电器(金箔路卖场店),31.951153,118.835367,商场
泰西路42-2号,金辉广场,32.144387,118.711154,商场
秣周东路18号,砂之船奥特莱斯艺术商业广场,31.866909,118.828488,商场
胜太路8号同曦假日百货3层,同曦假日百货(静月花园东北),31.943596,118.822309,商场
泰冯路59号泰徕城,苏尔玛购物广场,32.154431,118.718716,商场
红山路常发广场一楼,奥特莱斯,32.085472,118.810287,商场
纬五路与纬四路交叉口南50米,南炼商业广场,32.151556,118.933208,商场
燕城大道1号,花园城购物中心,32.122603,118.834069,商场
双龙大道与兰台街交汇处,保乐荟,31.902179,118.82919,商场
麒东路138号锦绣花园A座,五星电器(麒麟门卖场店),32.055000,118.932382,商场
金箔路138号中国女人街4层,富腾奥特莱斯商场,31.94937,118.851278,商场
雄州街道长江路20号,六合商厦,32.342859,118.841068,商场
金箔路999号,黄金海岸广场,31.949741,118.836298,商场
梦都大街东150米,欧洲城·凯旋明珠商业广场B馆,32.009569,118.735129,商场
浦外路28号08栋,苏尚生活广场(浦外店),32.130449,118.718861,商场
尧佳路27号子雨家居广场1层,五星电器(尧化门店),32.120826,118.883884,商场
学海路1号,金鹰湖滨天地,32.102452,118.92677,商场
鹤鸣路6号,仙鹤新天地广场,32.085311,118.903783,商场
和燕路119号附近,金盛百货和燕路·生活广场,32.095643,118.797717,商场
光华路与长巷西街交叉口东北100米,紫金南苑商业中心,32.019459,118.845786,商场
华欧大道8号,荣盛·时代广场,32.327501,118.811886,商场
,金盛田广场,32.069303,118.639592,商场
学衡路5号附近,九霄梦天地,32.092155,118.916844,商场
雄风路336号,梅山商业广场,31.900742,118.635102,商场
柳州东路1号,苏宁环球百货市场,32.143495,118.724303,商场
义乌小商品城对面,龙眠大道站商贸中心,31.940217,118.876489,商场
东山街道东新南路15号,苏尧广场,31.953429,118.853277,商场
汤山街道迎宾大道(养龙山庄对面),南京汤山商贸广场,32.056467,119.066432,商场
乐山路209号,仁恒·江湾新天地,31.992609,118.710097,商场
将军大道9号109幢,越城汇,31.943096,118.787129,商场
邺城路4附近,南京青奥商业中心,31.991599,118.708864,商场
江浦街道中圣街2号,中盛商城,32.056514,118.625249,商场
沿江街道柳州东路189号,京新广场,32.14203,118.743301,商场
孝陵卫街道顾家营路59号,佳源广场,32.041102,118.880547,商场
大桥北路金盛国际家居1楼DE23号,金盛百货(大桥北路店),32.130692,118.731010,商场
东山街道莱茵达路288号金宝商业广场288号二楼F区,苏帛奥特莱斯,31.936522,118.857499,商场
金牛湖街道峨眉山社区八樊路18号,百惠购物中心,32.447384,118.980114,商场
江浦街道新浦路,宝隆时代广场,32.054092,118.638385,商场
上元大街488号,上元商场,31.953679,118.84578,商场
雨润大街88-9号,味洲·美邻生活广场,31.984848,118.721881,商场
中圣街1-16号,江浦商场,32.056311,118.624847,商场
双龙大道与天元中路交叉口东南150米,太阳城,31.927555,118.822116,商场
将军大道9号,托乐嘉乐尚天地,31.943374,118.786025,商场
君山路与楠西江西街交叉口,华新丽华商业广场,31.999043,118.722356,商场
奥体大街177号,环宇·美食广场,32.003961,118.723246,商场
金谷北街15-2,金牛商场,31.863993,118.68873,商场
友谊街66号(中和路与友谊街相交东250米路北),好邻里生活购物广场(友谊街店),31.971516,118.715259,商场
汇景西路18号,长发荟邻中心,31.98212,118.810536,商场
天元中路56号,台湾广场,31.929961,118.832726,商场
湖熟街道瑞泽路8号,金宝湖熟商业广场,31.875196,118.971554,商场
浦珠北路110号-18,南京玮明商贸城,32.113818,118.707270,商场
大厂街道大厂镇新华路138号鑫乐广场2层,三福(鑫乐生活广场店),32.222162,118.747056,商场
九龙路与陵园路交叉口西150米,九龙商场,31.837953,118.929986,商场
葛关路818号,美利广场,32.242874,118.74977,商场
龙津路44号,紫晶国际购物广场,32.340065,118.843205,商场
秣陵街道天元东路388号义乌商品城,南京义乌青年广场,31.938543,118.875890,商场
淳溪镇镇兴路138号,高淳悦达广场,31.328219,118.874263,商场
学津路与文苑路交叉口南50米,仙林大学城湖畔购物中心,32.102031,118.921244,商场
双龙大道188号,越城汇,31.931821,118.821081,商场
长江路1号金宁国际大厦2306,金宁购物广场,32.340879,118.841239,商场
天元中路229号,21世纪国际商业中心,31.927572,118.827745,商场
大桥北路48号弘阳广场,弘阳广场休闲·购物馆,32.139971,118.723540,商场
宏运大道1777号附近,久九伴广场,31.965300,118.814976,商场
上元大街489号(近醉江南),飞飞商场,31.95396,118.845546,商场
岱山北路社区中心,东来荟邻生活广场,31.944804,118.692676,商场
浦珠南路26号MS慕斯荟F2层,三福(MS慕斯荟),32.073877,118.646144,商场
宁双路安德门大街52号楚翘城对面,世茂52,31.97044,118.762211,商场
中圣街2号,五星电器(南京江浦店),32.056444,118.625324,商场
,金轮星立方广场,31.971991,118.800566,商场
幸庄路与秦淮大道交叉口,溧水万达广场,31.626179,119.047305,商场
上元大街485号,华意泰富购物广场,31.954602,118.844321,商场
龙华路8号,st广场,32.069911,118.639913,商场
岱山中路4号,东来·奥南城,31.939147,118.697701,商场
中轴路工行花旗分理处旁,龙盘商厦,32.176414,118.672834,商场
佳湖东路百家湖1912街区11号楼B1楼,1912商业广场,31.931814,118.818420,商场
百润路1号,诚宇城生活广场,32.146255,118.732685,商场
淳中路10号,富克斯流行广场,31.32346,118.869871,商场
县淳溪镇镇北路36号3幢69号,天河商城,31.322979,118.862791,商场
鹏山路9号1幢,江宁大学城商贸中心,31.916034,118.894657,商场
万达茂二楼2073至2076,三福时尚万达茂,32.122657,118.991010,商场
圣汤大道99号,百联奥特莱斯摩天轮,32.028440,119.052640,商场
永阳镇珍珠南路11号,招商城,31.650558,119.032373,商场
金箔路188号,金宝商业广场(金箔路店),31.950168,118.855993,商场
秣陵街道天元东路999号,天景山商业中心,31.940641,118.878007,商场
胜太西路208号,托乐嘉地下商城,31.944804,118.783131,商场
大桥北路37号,金都汇广场,32.134908,118.725416,商场
长兴大街667号,金宝滨江商业广场,31.856985,118.605783,商场
宝塔路61号,八佰伴(宝塔路),31.324,118.875986,商场
泰山路170号,仁和商城(泰山路),32.339315,118.851119,商场
圣汤大道99号,南京汤山百联奥特莱斯广场,32.0292,119.05203,商场
和莲路42-3号华润华润苏果超市3层,汪家村购物广场,31.966596,118.721095,商场
通济街107号,通济街商业广场,31.656493,119.028353,商场
双龙大道1688号金鹰天地广场LG2层,金鹰国际购物中心(双龙大道店),31.932068,118.820488,商场
葛关路298号,永利购物中心,32.230875,118.762918,商场
楠溪江东街84号附近,国际社区型购物中心,31.993590,118.730110,商场
永阳镇志远路68号,康利广场,31.638089,119.039754,商场
莱茵达路288号,金宝商业广场(天元路店),31.936455,118.857444,商场
寅春西路85附近,花园城,32.123650,118.834332,商场
玄武湖街道鹤鸣路仙鹤茗苑51号,铭苑·77生活广场,32.089982,118.900053,商场
学海路1号,金鹰国际购物中心(奥莱城E馆),32.101481,118.927089,商场
大桥北路24号,金盛装饰城,32.132949,118.7334,商场
滨江大道1号明发外滩广场北区1层底商,益丰明发广场店(明发外滩广场店),32.132211,118.743764,商场
万达茂一号口1099,老凤祥银楼,32.120913,118.985954,商场
滨江大道1号,明发外滩广场南区,32.130586,118.742454,商场
新华路与潘营路交叉口,苏尚生活广场(大厂店),32.233255,118.766758,商场
玉兰路57号附近,永宁商场,32.133264,118.571891,商场
丁墙路22附近,明发商业广场A2-2,31.977142,118.795177,商场
丁墙路与明城大道交叉口西南200米,明发商业广场A2号楼,31.978377,118.796195,商场
丁墙路14附近,明发商业广场B1,31.976842,118.794923,商场
大桥北路20号,苏尚生活广场(桥北店),32.128532,118.734731,商场
仙林学海路1号,金鹰奥莱城B馆,32.103213,118.926001,商场
仙林学海路1号,金鹰奥莱城D馆,32.102547,118.926234,商场
丽景路1号,莱福城,32.157101,118.711654,商场
通贤路66号高淳人民商场,五星电器(高淳卖场店),31.321037,118.866725,商场
江宁镇瑜桥街1号,江春商场,31.866648,118.608462,商场
中大街81号,海乐城,31.656756,119.025948,商场
西善桥街道岱山新城单家村街8-25号西善花苑公交场站对面,久九伴广场(岱山店),31.937694,118.698227,商场
来凤路9号,百利广场,31.77933,118.855366,商场
仙林街道仙林大学城学海路一号,金鹰奥莱城C馆,32.102551,118.926984,商场
大桥北路294附近,太平商场,32.132757,118.729423,商场
中大街与大东门街交叉口东北50米,溧水温州商贸文化广场(中大街),31.651869,119.026858,商场
淳溪镇通贤街9号,鑫冠百货,31.321683,118.869087,商场
,润璟科技广场,31.975848,118.869313,商场
越秀路北50米,空港商业广场,31.789815,118.811314,商场
文苑路3号,大成名店公园,32.101615,118.922227,商场
大桥北路48号F4层,弘阳服饰(弘阳广场店),32.135968,118.726977,商场
光华路147号,石林百货批发市场,32.017536,118.851611,商场
淳溪镇通贤路66号,人民商场(通贤街店),31.320994,118.866497,商场
汤龙路西50米,宝华商场,32.162446,119.048993,商场
银杏湖大道168号,天环商贸广场,31.879525,118.678949,商场
新亭街与邺城路交叉口南150米,世茂海峡城,31.976456,118.683919,商场
新城路21号,尧化门邻里中心,32.129032,118.891135,商场
长江路10号,泓源奥莱城,32.343165,118.842177,商场
永阳镇秦淮路301号,溧水·顾家·欧亚达商业广场,31.650194,119.046826,商场
