地址,名称,维度,经度,类型
雨花西路57号,雨花西路57号小区,32.004300,118.772408,小区
雨花西路57号,钱家村,32.003979,118.772385,小区
璇子巷34-2临附近,小百花巷,32.016471,118.781600,小区
夫子庙景区步行街与钞库街交叉口西100米,秦淮河畔,32.018117,118.787866,小区
玉兰路5号,仁恒翠竹园,31.988805,118.79189,小区
乌衣巷26号,龙翔隐园,32.018154,118.791416,小区
共青团路50号,雨花新村-三村,31.996611,118.774186,小区
龙蟠中路542-564号,南京酿造公司七里街96号168小区,32.016347,118.798422,小区
共青团路66号,雨花新村二村,31.998795,118.773,小区
龙蟠中路511号,佳日雅苑,32.01582,118.799509,小区
共青团路28号,南山别墅(共青团路),31.995456,118.774784,小区
共青团路,雨花新村,31.996418,118.774117,小区
育仁南路与育仁路交叉口东北200米,中牌楼东100-1小区,32.002840,118.807341,小区
东瓜匙路东100米,春天家园,31.991397,118.80022,小区
雨花南路9号,花好月苑,31.993957,118.775992,小区
大明路与明匙路交叉口北150米,无线电厂宿舍,31.994120,118.803602,小区
区党校路与雨花北路交叉口西150米,共青团路二村,31.999371,118.772617,小区
秦虹路98号,武定新村,32.011343,118.80486,小区
秦虹路红花村(苏尧大厦西100米),红花村165号,32.013832,118.802639,小区
实辉巷与张都堂巷交叉口南100米,鞍辔坊小区,32.017012,118.781814,小区
平江府路158号,平江府路158号院,32.018454,118.792579,小区
共青团路中学,共青团路三村,31.996225,118.773883,小区
一品嘉园13幢(凝翠轩),一品嘉园-13幢(凝翠轩),32.018676,118.791607,小区
中山南路888号附近,爱多尔公寓,32.015232,118.778151,小区
秦虹南路150-10号,良辰美景家园,32.008989,118.806671,小区
秦虹应天大街75号,康美里小区,32.005962,118.807654,小区
磨盘街与饮马巷交叉口西南150米,陈家牌坊21号,32.013910,118.776297,小区
大石坝街53号附近,一品嘉园(琵琶街),32.01886,118.791321,小区
大明路238号,继源·城南枫景,31.998862,118.807184,小区
东牌楼4-4附近,东牌楼2号,32.018871,118.787276,小区
一品嘉园8幢(叠翠轩),一品嘉园-8幢(叠翠轩),32.018911,118.791772,小区
大明路210号,九龙雅苑,32.000379,118.807687,小区
永乐路11号,丽景华庭(永乐路),31.994163,118.804461,小区
雨花北路58,航天晨光股份有限公司单身公寓,32.000500,118.771637,小区
长乐路50号,长乐公寓(实辉巷),32.017965,118.782697,小区
节制闸路9号,节制闸路小区,32.016105,118.80066,小区
宏光路276号,大明宏苑西区,32.004875,118.808139,小区
高岗里11号附近,高岗里9号,32.014635,118.776633,小区
红花街道窨子山路99号,映山菁华,31.991258,118.801495,小区
窨子山路99号,映山菁华物业,31.991248,118.801525,小区
后江沿18,秦淮教师公寓,32.003178,118.808442,小区
大明路333号附近,后江沿小区,32.002156,118.808389,小区
雨花西路90号,零五佳苑,32.005665,118.771119,小区
平江府路153号,金轮新村,32.019066,118.793376,小区
雨花街道能仁里一村6号,雨花长寿村,32.000217,118.771260,小区
磨盘街18号,磨盘街小区,32.015825,118.777801,小区
雨花北路,能仁里一村小区,31.999395,118.771481,小区
秦虹路213号,莺虹苑小区,32.013673,118.804166,小区
大四福巷与瞻园路交叉口西南50米,半山苑,32.019344,118.786977,小区
夫管办夫子庙贡院街188号大世界,海伦花园,32.019482,118.788377,小区
小石坝街与琵琶街交叉口西南100米,一品嘉园-03幢文林阁,32.019444,118.791547,小区
,高岗里小区,32.014466,118.775882,小区
七里街77号,七里街-77号院,32.017165,118.799627,小区
雨花北路,能仁里十村小区,32.000013,118.771124,小区
雨花台雨花新村,雨花新村四村,31.994403,118.773867,小区
卡子门大街38号月星国际家居4层,枫丹榭丽,31.988650,118.797450,小区
七里街77-79号,七里街77-79号小区,32.017263,118.799736,小区
张都堂巷与长乐路交叉口西南100米,张都堂巷小区,32.018405,118.782199,小区
磨盘街12号附近,磨盘街-18号院,32.016063,118.777506,小区
秦虹南路168号附近,康居里小区,32.007551,118.808377,小区
西石坝街11号,诚兴居,32.019612,118.792787,小区
高岗里19号附近,高岗里18号,32.014569,118.775488,小区
大明路208号曙光里小区14栋三楼百米,一米阳光单身公寓,32.001612,118.808799,小区
雨花北路与雨花西路交叉口东南150米,能仁里1区,32.000765,118.770572,小区
大石坝街39号,文晖阁,32.019770,118.792011,小区
雨花西路126号,飞龙大厦,32.003173,118.770278,小区
共青团路与花神大道交叉口西北100米,共青团路四村,31.993632,118.774064,小区
长虹路416号附近,钱家村2号,32.003228,118.770180,小区
大明路147号,九龙新寓,31.998154,118.80824,小区
秦虹南路56号,岗虹苑小区,32.010212,118.807606,小区
钓鱼台123巷15号,钓鱼台123巷-15号院,32.017017,118.778299,小区
中华路与长乐路交界处,牵牛巷,32.018713,118.781621,小区
雨花西路100号,雨花西路小区,32.001497,118.770030,小区
贡院街150号附近,书香门第,32.020271,118.789652,小区
郁金香路12号,锦明家苑,31.987069,118.79458,小区
大四福巷小区西区,大四福巷小区-西区,32.020231,118.787093,小区
大四福巷24-29号,大四福巷小区,32.020313,118.787764,小区
大明路151号东80米,住院楼B,31.996007,118.807658,小区
秦虹南路48号,南京市红十字会岗虹苑小区衣物捐赠箱,32.010516,118.807922,小区
秦虹路218号,秦虹小区集虹苑,32.013185,118.806188,小区
龙蟠中路459号,枫丹白露城市花园,32.017524,118.801075,小区
郁金香路16号,玉兰小区,31.986684,118.793509,小区
卡子门大街38号F3层C010,格林小镇(月星国际家居卡子门大街),31.987665,118.797390,小区
雨花西路111-2号,紫淮公馆,32.000937,118.769766,小区
秦虹街道应天大街15号,碧水云天(应天大街),32.005955,118.809631,小区
七里街20号,武定门北巷小区,32.01914,118.79774,小区
雨花宁南新区郁金香路20号,泰龙家园,31.98638,118.791988,小区
雨花街道雨花南路雨花新村五村,雨花新村一至五村,31.994787,118.772163,小区
龙蟠中路480-484号,龙蟠中路小区,32.018737,118.799046,小区
宏光路276号,大明宏苑东区,32.004801,118.809989,小区
雨花街道雨花南路雨花新村五村东门,雨花新村五村,31.994804,118.772066,小区
雨花西路185号附近,能仁里3区,31.997910,118.770404,小区
应天大街,睦邻苑,32.007605,118.809473,小区
雨花南路22号(公交车站),雨花南路小区,31.993507,118.772839,小区
贡院西街107号,松默楼,32.020817,118.788198,小区
大四福巷31号附近,大四福巷小区-东区,32.020795,118.787849,小区
秦虹南路52号,秦虹小区,32.012341,118.807411,小区
郁金香路18号,福林青年公寓,31.986150,118.792485,小区
雨花西路121-1号,四季阳光花园,31.997501,118.770214,小区
中华路许家巷17-19号,许苑小区,32.020002,118.782683,小区
秦虹南路9号附近,康安里住宅区,32.009854,118.809011,小区
殷高巷36-44号,盘街小区,32.017720,118.777550,小区
雨花南路22号,望江矶二号小区,31.992554,118.773395,小区
长虹路320号附近,中医骨伤专家朱文俊住宅,32.001835,118.768995,小区
龙蟠中路459号,白露新寓,32.017492,118.802326,小区
